Aceite Base,Espesante,Grado NLGI Consistencia,Viscosidad del Aceite Base a 40∞C. cSt,"PenetraciÛn de Cono a 25∞C, 0.1mm","Punto de Gota, ∞C","Estabilidad Mec·nica, %","Punto de Soldadura Cuatro Bolas, kgf","Desgaste Cuatro Bolas, mm",Indice de Carga-Desgaste,"Carga Timken Ok, lb","Resistencia al Lavado por Agua a 80∞C, %",Corrion EMCOR,CorrosiÛn al Cobre,Prueba FZG,Registro NSF,"Solidos Totales, %","TamaÒo de Particula, µ",Bombeabilidad,Clasificacion ISO 6743-9,"Presion de Flujo a -30∞C, mbar","Separacion del Aceite, %",Prevencion a la Corrosion,Estabilidad a la Oxidacion,Resistencia a la Humedad,pH,Factor de Torque,"Viscosidad Din·mica a 25∞C, cP",Biodegradabilidad en 28 dias (> 60%),Factor de Velocidad,"Temperatura de Servicio ∞C, min","Temperatura de Servicio ∞C, max",categoria,subtitulo,descripcion,beneficios,aplicaciones,color,textura
Mineral,Complejo sulfonato de calcio ,1,460,320,> 300,333,620,0.31,NA,NA,18,NA,1a,NA,NA,NA,NA,Buena,ISO-L-XBEIB 1,NA,0.12,> 1000,NA,Excelente,Neutro,NA,NA,NA,NA,-20,180,Grasa industrial EP (mineral premium),Grasa de sulfonato de calcio reforzada,"Grasa con aceite mineral de alta viscosidad y espesante sulfonato de calcio complejo que proporciona excelente protección anticorrosiva, adherencia y resistencia a presión extrema.","Alta capacidad de carga
• Excelente protección anticorrosiva
• Gran resistencia al agua
• Estabilidad mecánica y térmica
• Amplio rango de temperatura","Cojinetes, engranajes abiertos, reductores, acoplamientos, cables y equipos en ambientes húmedos o salinos (minería, naviera, siderurgia, cementera, papelera, obras públicas).",Ámbar anaranjado transparente,"Suave, adhesiva, consistente"
Mineral,Complejo sulfonato de calcio ,2,460,285,> 300,295,620,0.31,NA,NA,11,NA,1a,NA,NA,NA,NA,Buena,ISO-L-XBEIB 2,NA,0.08,> 1000,NA,Excelente,Neutro,NA,NA,NA,NA,-20,180,Grasa industrial EP (mineral premium),Grasa de sulfonato de calcio reforzada,"Grasa con aceite mineral de alta viscosidad y espesante sulfonato de calcio complejo que proporciona excelente protección anticorrosiva, adherencia y resistencia a presión extrema.","Alta capacidad de carga
• Excelente protección anticorrosiva
• Gran resistencia al agua
• Estabilidad mecánica y térmica
• Amplio rango de temperatura","Cojinetes, engranajes abiertos, reductores, acoplamientos, cables y equipos en ambientes húmedos o salinos (minería, naviera, siderurgia, cementera, papelera, obras públicas).",Ámbar anaranjado transparente,
